Role,word,frequency,compound
reviewer,wise,440,0.5859
reviewer,hot,1124,0.2023
reviewer,famous,80,0.5267
reviewer,forget,88,-0.3818
reviewer,easy,2536,0.29600000000000004
reviewer,correct,7925,0.5859
reviewer,suspect,1052,-0.3818
reviewer,simple,4455,0.2023
reviewer,claims,5055,-0.2023
reviewer,importance,5127,0.5859
reviewer,versatile,124,0.5859
reviewer,advantage,2019,0.3818
reviewer,supportive,525,0.5859
reviewer,scholarly,95,0.5859
reviewer,excellent,2940,0.6369
reviewer,confused,1424,-0.5267
reviewer,discovery,1968,0.5859
reviewer,huge,941,0.5267
reviewer,tried,1311,-0.29600000000000004
reviewer,conclusions,11308,0.29600000000000004
reviewer,stability,4273,0.3818
reviewer,life,2161,0.5859
reviewer,stable,3162,0.3818
reviewer,useful,9376,0.5859
reviewer,noise,3908,-0.3818
reviewer,advance,1954,0.3818
reviewer,limitations,3356,-0.3818
reviewer,weaker,771,-0.3818
reviewer,suggests,5066,0.2023
reviewer,strengthen,2551,0.3818
reviewer,transparency,367,0.5267
reviewer,respect,3685,0.5859
reviewer,recommend,10602,0.5267
reviewer,effort,2846,0.3818
reviewer,originality,310,0.6369
reviewer,kiss,25,0.3818
reviewer,novelty,4558,0.3818
reviewer,agree,7129,0.3818
reviewer,satisfactorily,1817,0.3818
reviewer,aggression,150,-0.6369
reviewer,smooth,643,0.3818
reviewer,accepted,2238,0.5267
reviewer,scarring,32,-0.6369
reviewer,excessive,347,-0.5859
reviewer,chaotic,228,-0.6369
reviewer,late,2035,-0.3818
reviewer,unstable,506,-0.5859
reviewer,revival,41,0.5267
reviewer,freedom,514,0.6369
reviewer,strong,8488,0.5267
reviewer,raise,806,0.29600000000000004
reviewer,timely,1351,0.5267
reviewer,complicated,1166,-0.3818
reviewer,unity,131,0.5859
reviewer,revealed,2010,0.2023
reviewer,survival,2811,0.29600000000000004
reviewer,exemplary,110,0.6369
reviewer,stimulate,559,0.3818
reviewer,stressing,62,-0.5267
reviewer,scars,30,-0.5859
reviewer,importantly,2759,0.29600000000000004
reviewer,pioneering,148,0.6369
reviewer,worth,2460,0.3818
reviewer,hesitates,2,-0.3818
reviewer,enhanced,2957,0.3818
reviewer,difficulties,448,-0.5267
reviewer,wonders,221,0.5859
reviewer,conclusive,545,0.5859
reviewer,satisfactory,1124,0.3818
reviewer,interested,1429,0.5267
reviewer,scar,147,-0.5859
reviewer,unprecedented,327,0.2023
reviewer,concerned,1307,-0.29600000000000004
reviewer,capable,892,0.5267
reviewer,advancing,162,0.3818
reviewer,tough,94,-0.29600000000000004
reviewer,advantages,1168,0.5267
reviewer,thorough,2701,0.5859
reviewer,achievements,108,0.5859
reviewer,shortcomings,410,-0.5859
reviewer,elegant,1272,0.5859
reviewer,supported,4979,0.3818
reviewer,consequences,1327,-0.29600000000000004
reviewer,intervention,519,0.2023
reviewer,infectious,532,0.29600000000000004
reviewer,affect,5864,0.2023
reviewer,wrong,2149,-0.6369
reviewer,viral,3127,0.2023
reviewer,mutants,4096,-0.5267
reviewer,infected,1725,-0.6369
reviewer,release,3229,0.2023
reviewer,antagonist,363,-0.5267
reviewer,fret,1270,-0.3818
reviewer,deficiency,1030,-0.5859
reviewer,unfortunately,2140,-0.5859
reviewer,innate,543,0.2023
reviewer,colleagues,2705,0.29600000000000004
reviewer,pro,1022,0.5267
reviewer,deficient,1706,-0.5859
reviewer,facilitate,1028,0.3818
reviewer,development,6402,0.3818
reviewer,impaired,998,-0.5859
reviewer,convincing,7004,0.5859
reviewer,inhibited,836,-0.5267
reviewer,contradictory,558,-0.3818
reviewer,reduced,6165,-0.29600000000000004
reviewer,enriched,2375,0.5267
reviewer,disassociation,8,-0.5267
reviewer,expressing,2382,0.29600000000000004
reviewer,aid,685,0.3818
reviewer,diminished,374,-0.3818
reviewer,suggesting,3535,0.2023
reviewer,strain,3781,-0.3818
reviewer,demonstrates,1576,0.29600000000000004
reviewer,clearer,3008,0.3818
reviewer,involvement,863,0.29600000000000004
reviewer,promote,1563,0.5267
reviewer,stimulated,952,0.5267
reviewer,contributes,1060,0.3818
reviewer,infect,205,-0.6369
reviewer,advancement,341,0.5267
reviewer,feel,3861,0.2023
reviewer,grow,692,0.3818
reviewer,easier,1948,0.29600000000000004
reviewer,wanted,385,0.2023
reviewer,resonance,1175,0.3818
reviewer,redundant,844,-0.5267
reviewer,satisfied,1911,0.5267
reviewer,guidance,330,0.3818
reviewer,exploring,562,0.3818
reviewer,innovation,355,0.6369
reviewer,understatement,12,-0.29600000000000004
reviewer,leading,2652,0.3818
reviewer,weak,3077,-0.5859
reviewer,practical,1344,0.3818
reviewer,improvement,2553,0.5267
reviewer,resolved,2043,0.3818
reviewer,appreciate,4499,0.5859
reviewer,motivated,532,0.5859
reviewer,appreciation,173,0.5859
reviewer,confusion,1895,-0.5267
reviewer,seriously,404,-0.29600000000000004
reviewer,convinced,2290,0.3818
reviewer,ignored,601,-0.5859
reviewer,degenerate,161,-0.6369
reviewer,strict,300,-0.29600000000000004
reviewer,recommendation,886,0.3818
reviewer,publish,836,0.5859
reviewer,acceptable,1340,0.29600000000000004
reviewer,kind,2467,0.5267
reviewer,confusing,5550,-0.5859
reviewer,healthy,1239,0.5859
reviewer,clarity,3515,0.5859
reviewer,analytical,1217,0.3818
reviewer,valuable,3160,0.6369
reviewer,biased,1278,-0.6369
reviewer,impressive,2114,0.6369
reviewer,debated,219,0.1027
reviewer,definitive,494,0.5859
reviewer,motivate,354,0.5859
reviewer,suggestions,4982,0.3818
reviewer,stress,4837,-0.5267
reviewer,usable,66,0.29600000000000004
reviewer,accessible,1396,0.5267
reviewer,convenient,199,0.3818
reviewer,innovative,854,0.6369
reviewer,rely,1055,0.2023
reviewer,endorsed,15,0.3818
reviewer,harmonize,20,0.3818
reviewer,expecting,175,0.3818
reviewer,best,5042,0.6369
reviewer,premature,524,-0.5859
reviewer,straightforward,1212,0.5267
reviewer,dissociation,971,-0.3818
reviewer,debate,561,0.2023
reviewer,ease,271,0.3818
reviewer,rare,1637,0.29600000000000004
reviewer,exhaustion,130,-0.6369
reviewer,dropout,100,-0.5859
reviewer,familiar,985,0.3818
reviewer,incorrect,1844,-0.6369
reviewer,abundance,2664,0.5859
reviewer,argue,2973,-0.29600000000000004
reviewer,rightfully,50,0.3818
reviewer,recognized,709,0.5267
reviewer,contributors,114,0.3818
reviewer,merit,693,0.5267
reviewer,necessary,6122,0.2023
reviewer,liberal,38,0.2023
reviewer,unfamiliarity,7,-0.3818
reviewer,falsify,21,-0.6369
reviewer,balanced,674,0.3818
reviewer,productivity,766,0.5267
reviewer,unimportance,3,-0.5859
reviewer,adequate,1086,0.2023
reviewer,sinking,91,-0.5859
reviewer,maturity,111,0.3818
reviewer,commend,348,0.5859
reviewer,awkwardly,46,-0.3818
reviewer,polished,131,0.5267
reviewer,sharp,633,0.29600000000000004
reviewer,contribution,6249,0.5859
reviewer,collaborators,186,0.5267
reviewer,pure,1401,0.5267
reviewer,trivial,1087,-0.5267
reviewer,polarized,674,-0.3818
reviewer,misunderstand,78,-0.5267
reviewer,resolve,881,0.3818
reviewer,critical,6516,0.2023
reviewer,flaws,389,-0.5859
reviewer,expert,1587,0.5859
reviewer,deficits,355,-0.6369
reviewer,honest,175,0.5859
reviewer,confining,65,-0.5859
reviewer,disagreement,205,-0.29600000000000004
reviewer,difficult,9305,-0.3818
reviewer,dominated,707,-0.5267
reviewer,ineffective,65,-0.5859
reviewer,decay,1411,-0.6369
reviewer,efficient,1998,0.5859
reviewer,remarkable,849,0.6369
reviewer,nicely,1766,0.5267
reviewer,deteriorates,23,-0.6369
reviewer,subtle,676,0.2023
reviewer,neglected,376,-0.6369
reviewer,facilitated,200,0.3818
reviewer,sharper,65,0.29600000000000004
reviewer,misleading,3204,-0.6369
reviewer,messy,89,-0.5267
reviewer,inefficient,162,-0.5859
reviewer,helped,469,0.5267
reviewer,creatively,17,0.5267
reviewer,fabrication,855,-0.6369
reviewer,connected,1316,0.29600000000000004
reviewer,creating,522,0.3818
reviewer,neat,182,0.3818
reviewer,support,12988,0.5267
reviewer,motivation,926,0.5859
reviewer,honestly,136,0.3818
reviewer,isolated,1945,-0.5859
reviewer,therapy,1627,0.3818
reviewer,induce,2421,-0.2023
reviewer,unreasonable,141,-0.5859
reviewer,attack,261,-0.6369
reviewer,prone,548,-0.3818
reviewer,severe,986,-0.6369
reviewer,evaluating,688,0.2023
reviewer,toxicity,914,-0.6369
reviewer,rational,515,0.29600000000000004
reviewer,blockade,574,-0.6369
reviewer,toxic,471,-0.6369
reviewer,destroy,70,-0.6808
reviewer,trigger,750,-0.3818
reviewer,acceptance,1338,0.5267
reviewer,strikingly,196,0.5267
reviewer,potency,261,0.2023
reviewer,lethal,379,-0.6808
reviewer,safety,447,0.5267
reviewer,indicative,449,0.2023
reviewer,damage,2698,-0.5859
reviewer,dying,112,-0.6369
reviewer,positively,663,0.5267
reviewer,dynamic,2991,0.3818
reviewer,intrusive,32,-0.5859
reviewer,determined,3914,0.5859
reviewer,impacted,405,-0.29600000000000004
reviewer,longevity,268,0.3818
reviewer,contributions,1761,0.6369
reviewer,organized,946,0.5267
reviewer,reasonable,2909,0.3818
reviewer,rise,1591,0.29600000000000004
reviewer,limitation,2272,-0.5267
reviewer,noteworthy,397,0.5267
reviewer,reawaken,1,0.5267
reviewer,puzzling,467,-0.3818
reviewer,diversity,3392,0.5267
reviewer,responsible,2100,0.5267
reviewer,lacking,2136,-0.5859
reviewer,struggled,115,-0.5267
reviewer,resonate,14,0.5267
reviewer,welcome,527,0.5267
reviewer,truth,450,0.5859
reviewer,hurts,11,-0.5859
reviewer,erupts,3,-0.6369
reviewer,weakness,600,-0.5859
reviewer,congratulations,285,0.6369
reviewer,hope,1729,0.5859
reviewer,shallow,539,-0.5267
reviewer,advocated,39,0.5267
reviewer,alone,2994,-0.3818
reviewer,dominant,1342,-0.29600000000000004
reviewer,influential,150,0.5859
reviewer,accurate,3077,0.5859
reviewer,rejected,167,-0.6369
reviewer,strengths,852,0.5267
reviewer,suggestive,338,0.2023
reviewer,friends,41,0.5859
reviewer,poorly,1425,-0.6369
reviewer,correction,1930,-0.29600000000000004
reviewer,exposed,1160,-0.3818
reviewer,adverse,222,-0.6369
reviewer,rigorous,1312,0.5859
reviewer,stringent,371,-0.5267
reviewer,acknowledge,1892,0.29600000000000004
reviewer,acknowledged,949,0.29600000000000004
reviewer,imagine,933,0.3818
reviewer,boost,247,0.5267
reviewer,clean,530,0.3818
reviewer,beautiful,430,0.6369
reviewer,coexistence,272,0.29600000000000004
reviewer,mature,990,0.5267
reviewer,legacy,65,0.3818
reviewer,drought,689,-0.6369
reviewer,amazing,116,0.6369
reviewer,promoted,333,0.5267
reviewer,stabilizing,399,0.3818
reviewer,competitive,499,0.29600000000000004
reviewer,chaos,166,-0.6369
reviewer,placidity,1,0.3818
reviewer,wonder,2243,0.5267
reviewer,facilitation,120,0.3818
reviewer,relaxed,257,0.5267
reviewer,relationships,1697,0.29600000000000004
reviewer,popular,271,0.5267
reviewer,displaced,141,-0.5267
reviewer,enthusiasm,438,0.6369
reviewer,evoke,98,0.29600000000000004
reviewer,enhancing,390,0.5267
reviewer,strengthened,1204,0.3818
reviewer,family,2024,0.5859
reviewer,prudent,104,0.3818
reviewer,argued,827,-0.2023
reviewer,overcome,734,0.5859
reviewer,progress,732,0.5859
reviewer,excitement,59,0.6369
reviewer,pique,4,-0.29600000000000004
reviewer,remedy,70,0.3818
reviewer,fair,1025,0.5267
reviewer,developed,3714,0.5267
reviewer,achieves,171,0.5267
reviewer,enhancements,74,0.3818
reviewer,enhance,1572,0.3818
reviewer,discriminate,453,-0.6369
reviewer,enabling,404,0.29600000000000004
reviewer,discrimination,476,-0.6369
reviewer,excitation,1930,0.3818
reviewer,superior,838,0.5267
reviewer,recommends,213,0.3818
reviewer,flexible,814,0.5267
reviewer,desirable,505,0.5859
reviewer,successful,1018,0.5859
reviewer,diverse,1139,0.5267
reviewer,inspiration,73,0.6369
reviewer,unconventional,178,0.2023
reviewer,insufficient,1283,-0.5859
reviewer,disintegrated,5,-0.6369
reviewer,inert,125,-0.5267
reviewer,charged,839,0.29600000000000004
reviewer,dramatically,715,-0.2023
reviewer,recommended,1502,0.5267
reviewer,inconsistencies,386,-0.5267
reviewer,selective,2076,0.2023
reviewer,pressure,3278,-0.29600000000000004
reviewer,affected,3448,-0.3818
reviewer,special,914,0.3818
reviewer,essential,3614,0.5859
reviewer,irreversible,182,-0.5859
reviewer,meaningful,1627,0.5859
reviewer,readable,381,0.3818
reviewer,plagued,31,-0.6369
reviewer,rethink,70,0.2023
reviewer,overlooked,332,-0.5267
reviewer,concerning,2151,-0.3818
reviewer,understandable,533,0.3818
reviewer,giant,322,0.29600000000000004
reviewer,clarifies,172,0.3818
reviewer,nonsense,105,-0.6369
reviewer,exclusivity,30,-0.3818
reviewer,apologies,185,-0.29600000000000004
reviewer,missed,1486,-0.3818
reviewer,prohibitive,38,-0.5859
reviewer,publishable,396,0.5859
reviewer,simplify,263,0.2023
reviewer,underutilized,10,-0.5267
reviewer,underused,3,-0.29600000000000004
reviewer,exclusive,420,-0.29600000000000004
reviewer,cryptic,377,-0.5267
reviewer,aberrant,332,-0.5859
reviewer,restrain,34,-0.29600000000000004
reviewer,moving,1350,0.5267
reviewer,dependence,2502,-0.29600000000000004
reviewer,contrary,742,-0.3818
reviewer,unexpected,934,0.2023
reviewer,envision,189,0.3818
reviewer,advantageous,207,0.5859
reviewer,worse,657,-0.5859
reviewer,disrupted,393,-0.5859
reviewer,unsatisfying,50,-0.5859
reviewer,giving,969,0.3818
reviewer,legends,1992,0.3818
reviewer,bond,1648,0.2023
reviewer,aromatic,338,0.3818
reviewer,discarded,193,-0.5859
reviewer,transformative,46,0.6369
reviewer,fail,987,-0.6369
reviewer,sickness,17,-0.6369
reviewer,disturbance,340,-0.5267
reviewer,parasite,350,-0.6369
reviewer,convincingly,1540,0.3818
reviewer,inflammatory,1528,-0.6369
reviewer,tight,475,-0.29600000000000004
reviewer,pity,134,-0.5267
reviewer,awkward,511,-0.5267
reviewer,die,263,-0.6369
reviewer,dark,1205,-0.3818
reviewer,content,3711,0.29600000000000004
reviewer,darkness,71,-0.5859
reviewer,degraded,453,-0.6369
reviewer,affinity,2231,0.3818
reviewer,interestingly,1384,0.3818
reviewer,revealing,501,0.3818
reviewer,improving,1134,0.5859
reviewer,degradation,2704,-0.6369
reviewer,hypersensitivity,92,-0.6369
reviewer,striking,716,0.5267
reviewer,trustable,17,0.5267
reviewer,silencing,1037,-0.6369
reviewer,notorious,46,-0.6369
reviewer,promoter,2537,0.3818
reviewer,informative,2902,0.5859
reviewer,created,975,0.3818
reviewer,evaluation,2181,0.2023
reviewer,opposing,211,-0.3818
reviewer,compelling,2013,0.5859
reviewer,dramatic,627,0.3818
reviewer,usefulness,436,0.5267
reviewer,active,5915,0.29600000000000004
reviewer,thoughtful,537,0.5859
reviewer,attached,1058,0.2023
reviewer,enlightened,7,0.6369
reviewer,excited,1227,0.6369
reviewer,advances,976,0.5267
reviewer,hinder,120,-0.5859
reviewer,gain,2216,0.3818
reviewer,mistake,618,-0.5859
reviewer,stupid,10,-0.6369
reviewer,bonding,707,0.5267
reviewer,excess,906,-0.5267
reviewer,wish,1105,0.29600000000000004
reviewer,controlling,1072,-0.5859
reviewer,skillfully,8,0.5859
reviewer,finesse,18,0.5267
reviewer,challenging,1644,0.3818
reviewer,competing,477,0.2023
reviewer,appealing,358,0.5267
reviewer,pretty,854,0.3818
reviewer,belief,263,0.2023
reviewer,seminal,264,0.6369
reviewer,pointed,1507,-0.29600000000000004
reviewer,realistic,1101,0.2023
reviewer,reliable,1491,0.5859
reviewer,trust,344,0.5859
reviewer,admittedly,186,-0.2023
reviewer,delightfully,2,0.6369
reviewer,hesitate,53,-0.29600000000000004
reviewer,recommending,249,0.3818
reviewer,efforts,1833,0.3818
reviewer,symbolic,46,0.2023
reviewer,learning,5417,0.6369
reviewer,eliminate,563,-0.5859
reviewer,cancel,90,-0.5267
reviewer,insisting,22,-0.2023
reviewer,invention,35,0.5267
reviewer,uncertainty,2777,-0.3818
reviewer,serious,980,0.2023
reviewer,learnable,10,0.5267
reviewer,learned,635,0.5267
reviewer,curious,761,0.5859
reviewer,sharing,781,0.3818
reviewer,wonderful,103,0.6369
reviewer,sophisticated,568,0.5267
reviewer,turbulent,194,-0.5267
reviewer,inaccessible,84,-0.5859
reviewer,simplicity,229,0.3818
reviewer,discipline,84,0.3818
reviewer,powerful,883,0.5859
reviewer,thoughtfully,165,0.5267
reviewer,overcomes,103,0.5859
reviewer,reflection,602,0.2023
reviewer,absorbing,136,0.5859
reviewer,boosts,52,0.5267
reviewer,inappropriate,589,-0.6369
reviewer,persistence,563,0.5859
reviewer,inaccurate,534,-0.5859
reviewer,insignificant,161,-0.6369
reviewer,proven,665,0.3818
reviewer,bad,535,-0.6369
reviewer,storm,328,-0.5267
reviewer,failed,969,-0.6369
reviewer,constructive,682,0.5859
reviewer,confident,630,0.5859
reviewer,confirming,498,0.29600000000000004
reviewer,absorbed,199,0.5267
reviewer,wildfire,190,-0.6369
reviewer,urgent,74,0.3818
reviewer,burdens,31,-0.5859
reviewer,pointless,37,-0.6369
reviewer,fortunately,83,0.5859
reviewer,consequential,35,0.29600000000000004
reviewer,challenges,877,-0.29600000000000004
reviewer,refuge,37,0.3818
reviewer,patchy,94,-0.5267
reviewer,freezing,535,-0.5859
reviewer,compatible,633,0.3818
reviewer,prominent,567,0.3818
reviewer,rich,1899,0.3818
reviewer,dirty,56,-0.5859
reviewer,warming,1560,0.2023
reviewer,fate,686,-0.2023
reviewer,admits,9,-0.2023
reviewer,belonging,216,0.5267
reviewer,desired,642,0.5267
reviewer,minimizing,121,-0.3818
reviewer,helps,783,0.3818
reviewer,urge,319,0.29600000000000004
reviewer,releasing,190,0.2023
reviewer,problematic,1343,-0.5859
reviewer,fantastic,138,0.6369
reviewer,transparent,708,0.5267
reviewer,credible,222,0.5859
reviewer,poor,2407,-0.6369
reviewer,biases,814,-0.5859
reviewer,robust,3485,0.5859
reviewer,inconsistent,1056,-0.5267
reviewer,whispering,14,-0.29600000000000004
reviewer,resonant,514,0.5267
reviewer,exploits,74,-0.5267
reviewer,crucial,2189,0.6369
reviewer,master,370,0.29600000000000004
reviewer,develop,1554,0.3818
reviewer,favourable,79,0.5859
reviewer,mother,230,0.6369
reviewer,bursting,106,0.29600000000000004
reviewer,compensation,318,0.2023
reviewer,portrayed,38,0.2023
reviewer,lagging,123,-0.3818
reviewer,doubts,413,-0.3818
reviewer,portrayal,10,0.2023
reviewer,justice,146,0.5859
reviewer,appeals,6,0.29600000000000004
reviewer,clarifying,760,0.3818
reviewer,feedback,2111,0.29600000000000004
reviewer,worthy,559,0.5859
reviewer,encourage,994,0.5859
reviewer,patient,3014,0.5267
reviewer,triggered,612,-0.5267
reviewer,efficacy,1270,0.5267
reviewer,irritable,3,-0.5859
reviewer,aspiration,29,0.5267
reviewer,diarrhea,79,-0.6369
reviewer,confounded,238,-0.5859
reviewer,dear,631,0.29600000000000004
reviewer,loss,7425,-0.6369
reviewer,attract,311,0.3818
reviewer,creation,270,0.3818
reviewer,inhibition,4625,-0.29600000000000004
reviewer,recovery,1317,0.3818
reviewer,enhances,593,0.5267
reviewer,suffers,382,-0.6369
reviewer,manipulation,998,-0.6369
reviewer,stabilize,474,0.3818
reviewer,spotty,15,-0.5267
reviewer,asserted,55,0.2023
reviewer,interpretable,267,0.3818
reviewer,explore,1766,0.29600000000000004
reviewer,enrichment,2705,0.5267
reviewer,lost,1351,-0.5859
reviewer,worrisome,75,-0.5859
reviewer,annoying,53,-0.5859
reviewer,disappointed,143,-0.5859
reviewer,competition,1092,0.2023
reviewer,engagement,296,0.3818
reviewer,determination,1030,0.5859
reviewer,compete,288,0.2023
reviewer,potent,432,0.5267
reviewer,authentic,97,0.5267
reviewer,unreliable,163,-0.6369
reviewer,exploration,661,0.5267
reviewer,exploitation,184,-0.6369
reviewer,adaptive,891,0.3818
reviewer,conflicting,211,-0.5267
reviewer,exploiting,175,-0.6369
reviewer,optimize,339,0.3818
reviewer,sensitively,30,0.3818
reviewer,contribute,2828,0.3818
reviewer,smiles,71,0.5267
reviewer,optimistic,129,0.5859
reviewer,pessimistic,31,-0.6369
reviewer,certainty,179,0.3818
reviewer,recover,377,0.3818
reviewer,spur,63,0.3818
reviewer,faith,96,0.3818
reviewer,overstatement,380,-0.3818
reviewer,recovers,75,0.3818
reviewer,uncertain,449,-0.3818
reviewer,greedy,25,-0.6369
reviewer,penalty,130,-0.5267
reviewer,mitigate,262,0.3818
reviewer,boosted,72,0.3818
reviewer,expensive,266,-0.5267
reviewer,dominate,252,-0.29600000000000004
reviewer,dominance,267,0.2023
reviewer,learn,867,0.5859
reviewer,fatigue,147,-0.5859
reviewer,entitled,1301,-0.5267
reviewer,criticisms,800,-0.5859
reviewer,health,1392,0.5859
reviewer,discovered,873,0.5267
reviewer,discoveries,233,0.5859
reviewer,plausible,1111,0.3818
reviewer,belong,462,0.3818
reviewer,anticipation,56,0.3818
reviewer,decent,123,0.3818
reviewer,unravel,118,-0.29600000000000004
reviewer,improves,666,0.5267
reviewer,dissolution,347,-0.5267
reviewer,promotion,116,0.5267
reviewer,detrimental,276,-0.6369
reviewer,equivocal,43,-0.5267
reviewer,delaying,32,-0.3818
reviewer,perfectly,628,0.5859
reviewer,fresh,415,0.3818
reviewer,insightful,609,0.6369
reviewer,questionable,827,-0.5267
reviewer,inflated,154,-0.5859
reviewer,compensate,330,0.29600000000000004
reviewer,reliability,787,0.5859
reviewer,demand,691,-0.29600000000000004
reviewer,drawbacks,201,-0.5267
reviewer,exaggerated,185,-0.5859
reviewer,lackluster,5,-0.5859
reviewer,convoluted,184,-0.5859
reviewer,gained,508,0.3818
reviewer,meaningless,277,-0.6369
reviewer,disagree,964,-0.3818
reviewer,worst,217,-0.6808
reviewer,profit,87,0.29600000000000004
reviewer,beneficial,1333,0.5859
reviewer,buried,354,-0.5859
reviewer,renewable,171,0.5859
reviewer,impose,144,-0.5267
reviewer,opportunities,313,0.5859
reviewer,breakthroughs,35,0.6369
reviewer,gross,214,-0.5859
reviewer,reliance,189,-0.29600000000000004
reviewer,sorry,490,-0.5267
reviewer,professional,204,0.5267
reviewer,argues,297,0.2023
reviewer,electrify,4,0.5859
reviewer,sincere,54,0.5859
reviewer,agreed,294,0.3818
reviewer,greatest,291,0.6369
reviewer,indispensable,86,0.6369
reviewer,dedicated,377,0.5859
reviewer,pressures,426,-0.3818
reviewer,breakthrough,249,0.6369
reviewer,drawback,213,-0.5267
reviewer,promise,213,0.5267
reviewer,suffer,354,-0.6369
reviewer,alleviated,88,0.5267
reviewer,weaknesses,509,-0.5859
reviewer,recognition,1384,0.5267
reviewer,anticipate,227,0.3818
reviewer,degrade,182,-0.6369
reviewer,effectiveness,516,0.5267
reviewer,decline,875,-0.5267
reviewer,harm,64,-0.6369
reviewer,tougher,9,-0.29600000000000004
reviewer,distinguished,483,0.5859
reviewer,breakdown,362,-0.5859
reviewer,strengthens,284,0.3818
reviewer,modest,955,0.3818
reviewer,smart,305,0.5859
reviewer,pioneered,68,0.6369
reviewer,irrationality,3,-0.5859
reviewer,encouraged,317,0.5859
reviewer,attachment,384,0.29600000000000004
reviewer,surprise,300,0.29600000000000004
reviewer,colossal,21,0.29600000000000004
reviewer,commendable,252,0.6369
reviewer,disrupt,342,-0.5859
reviewer,justified,1721,0.3818
reviewer,elevated,1276,0.3818
